newsIDs,ratios,invisible_by_news,visible_by_news
843679,0.5,7.0,14.0
886764,0.5,3.0,6.0
823447,0.5,3.0,6.0
888587,0.5,3.0,6.0
843377,0.5,3.0,6.0
880964,0.5,3.0,6.0
907586,0.5,5.0,10.0
886883,0.5,3.0,6.0
921029,0.5,5.0,10.0
854888,0.5,4.0,8.0
898076,0.5,3.0,6.0
849955,0.5,3.0,6.0
790240,0.5,4.0,8.0
874470,0.5,3.0,6.0
817945,0.5,5.0,10.0
928790,0.5,4.0,8.0
766780,0.5,5.0,10.0
823623,0.5,7.0,14.0
929254,0.5,13.0,26.0
823679,0.5,3.0,6.0
896880,0.5,3.0,6.0
799462,0.5,3.0,6.0
800968,0.5,4.0,8.0
872413,0.5,4.0,8.0
861656,0.5,3.0,6.0
929515,0.5,5.0,10.0
869918,0.5,3.0,6.0
818276,0.5,6.0,12.0
825306,0.5,3.0,6.0
940694,0.5,3.0,6.0
891657,0.5,3.0,6.0
940812,0.5,4.0,8.0
825687,0.5,4.0,8.0
872353,0.5,6.0,12.0
822787,0.5,3.0,6.0
838449,0.5,3.0,6.0
823280,0.5,3.0,6.0
843125,0.5,8.0,16.0
823265,0.5,4.0,8.0
861309,0.5,3.0,6.0
843160,0.5,4.0,8.0
913641,0.5,5.0,10.0
824847,0.5,21.0,42.0
924320,0.5,3.0,6.0
843070,0.5,19.0,38.0
843462,0.5,3.0,6.0
858365,0.5,4.0,8.0
790444,0.5,4.0,8.0
845602,0.5,16.0,32.0
892306,0.5,4.0,8.0
845555,0.5,3.0,6.0
831975,0.5,4.0,8.0
845634,0.5,11.0,22.0
836083,0.5,4.0,8.0
868087,0.5,3.0,6.0
841136,0.5,3.0,6.0
875809,0.5,4.0,8.0
815602,0.5,3.0,6.0
871240,0.5,4.0,8.0
786764,0.5,3.0,6.0
845505,0.5,3.0,6.0
909487,0.5,5.0,10.0
820477,0.5,3.0,6.0
867751,0.5,3.0,6.0
893641,0.5,6.0,12.0
895589,0.5,3.0,6.0
926067,0.5,5.0,10.0
786384,0.5,3.0,6.0
874834,0.5,3.0,6.0
911135,0.5,34.0,68.0
895185,0.5,4.0,8.0
926082,0.5,4.0,8.0
794857,0.5,55.0,110.0
804359,0.5,8.0,16.0
832239,0.5,3.0,6.0
892917,0.5,5.0,10.0
835189,0.5,3.0,6.0
868885,0.5,7.0,14.0
787990,0.5,3.0,6.0
895245,0.5,3.0,6.0
906201,0.5,5.0,10.0
830433,0.5,4.0,8.0
787540,0.5,3.0,6.0
875834,0.5,3.0,6.0
844468,0.5,3.0,6.0
819672,0.5,12.0,24.0
821376,0.5,4.0,8.0
796470,0.5,4.0,8.0
896588,0.5,4.0,8.0
916389,0.5,3.0,6.0
897158,0.5,4.0,8.0
879648,0.5,4.0,8.0
791350,0.5,3.0,6.0
860137,0.5,3.0,6.0
860176,0.5,3.0,6.0
821161,0.5,4.0,8.0
856780,0.5,4.0,8.0
796408,0.5,3.0,6.0
924927,0.5,5.0,10.0
867325,0.5,3.0,6.0
884999,0.5,3.0,6.0
909151,0.5,4.0,8.0
892061,0.5,5.0,10.0
784749,0.5,3.0,6.0
871849,0.5,8.0,16.0
898713,0.5,4.0,8.0
827725,0.5,3.0,6.0
861172,0.5,3.0,6.0
821637,0.5,6.0,12.0
802795,0.5,4.0,8.0
788699,0.5,3.0,6.0
806659,0.5,4.0,8.0
922520,0.5,4.0,8.0
916277,0.5,5.0,10.0
923961,0.5,9.0,18.0
895131,0.5,4.0,8.0
938843,0.5,5.0,10.0
